Classification;Year;Period;Period Desc.;Aggregate Level;Is Leaf Code;Trade Flow Code;Trade Flow;Reporter Code;Reporter;Reporter ISO;Partner Code;Partner;Partner ISO;Commodity Code;Commodity;Qty Unit Code;Qty Unit;Qty;Netweight (kg);Gross weight (kg);Trade Value (US$);Flag
H5;2017;2017;2017;2;0;1;Import;826;United Kingdom;GBR;156;China;CHN;8;Fruit and nuts, edible peel of citrus fruit or melons;1;No Quantity;0;0;;47733201;0
H5;2017;2017;2017;2;0;2;Export;826;United Kingdom;GBR;156;China;CHN;8;Fruit and nuts, edible peel of citrus fruit or melons;1;No Quantity;0;0;;376876;0
H5;2017;2017;2017;2;0;1;Import;826;United Kingdom;GBR;251;France;FRA;8;Fruit and nuts, edible peel of citrus fruit or melons;1;No Quantity;0;0;;258162608;0
H5;2017;2017;2017;2;0;2;Export;826;United Kingdom;GBR;251;France;FRA;8;Fruit and nuts, edible peel of citrus fruit or melons;1;No Quantity;0;0;;56384634;4
H5;2017;2017;2017;2;0;1;Import;826;United Kingdom;GBR;276;Germany;DEU;8;Fruit and nuts, edible peel of citrus fruit or melons;1;No Quantity;0;0;;395951353;0
H5;2017;2017;2017;2;0;2;Export;826;United Kingdom;GBR;276;Germany;DEU;8;Fruit and nuts, edible peel of citrus fruit or melons;1;No Quantity;0;0;;24528396;0
H5;2017;2017;2017;2;0;1;Import;826;United Kingdom;GBR;699;India;IND;8;Fruit and nuts, edible peel of citrus fruit or melons;1;No Quantity;0;0;;74246928;0
H5;2017;2017;2017;2;0;2;Export;826;United Kingdom;GBR;699;India;IND;8;Fruit and nuts, edible peel of citrus fruit or melons;1;No Quantity;0;0;;13574;0
H5;2018;2018;2018;2;0;1;Import;826;United Kingdom;GBR;156;China;CHN;8;Fruit and nuts, edible peel of citrus fruit or melons;1;No Quantity;0;0;;47599089;0
H5;2018;2018;2018;2;0;2;Export;826;United Kingdom;GBR;156;China;CHN;8;Fruit and nuts, edible peel of citrus fruit or melons;1;No Quantity;0;0;;186455;4
H5;2018;2018;2018;2;0;1;Import;826;United Kingdom;GBR;251;France;FRA;8;Fruit and nuts, edible peel of citrus fruit or melons;1;No Quantity;0;0;;228396855;0
H5;2018;2018;2018;2;0;2;Export;826;United Kingdom;GBR;251;France;FRA;8;Fruit and nuts, edible peel of citrus fruit or melons;1;No Quantity;0;0;;59617168;4
H5;2018;2018;2018;2;0;1;Import;826;United Kingdom;GBR;276;Germany;DEU;8;Fruit and nuts, edible peel of citrus fruit or melons;1;No Quantity;0;0;;416636646;0
H5;2018;2018;2018;2;0;2;Export;826;United Kingdom;GBR;276;Germany;DEU;8;Fruit and nuts, edible peel of citrus fruit or melons;1;No Quantity;0;0;;28785531;4
H5;2018;2018;2018;2;0;1;Import;826;United Kingdom;GBR;699;India;IND;8;Fruit and nuts, edible peel of citrus fruit or melons;1;No Quantity;0;0;;75339010;0
H5;2018;2018;2018;2;0;2;Export;826;United Kingdom;GBR;699;India;IND;8;Fruit and nuts, edible peel of citrus fruit or melons;1;No Quantity;0;0;;238313;0
H5;2017;2017;2017;2;0;1;Import;826;United Kingdom;GBR;156;China;CHN;9;Coffee, tea, mate and spices;1;No Quantity;0;0;;57828505;4
H5;2017;2017;2017;2;0;2;Export;826;United Kingdom;GBR;156;China;CHN;9;Coffee, tea, mate and spices;1;No Quantity;0;0;;10243430;0
H5;2017;2017;2017;2;0;3;Re-Export;826;United Kingdom;GBR;156;China;CHN;9;Coffee, tea, mate and spices;1;No Quantity;0;0;;8440;0
H5;2017;2017;2017;2;0;1;Import;826;United Kingdom;GBR;251;France;FRA;9;Coffee, tea, mate and spices;1;No Quantity;0;0;;137848446;4
H5;2017;2017;2017;2;0;2;Export;826;United Kingdom;GBR;251;France;FRA;9;Coffee, tea, mate and spices;1;No Quantity;0;0;;63462427;0
H5;2017;2017;2017;2;0;1;Import;826;United Kingdom;GBR;276;Germany;DEU;9;Coffee, tea, mate and spices;1;No Quantity;0;0;;196421102;0
H5;2017;2017;2017;2;0;2;Export;826;United Kingdom;GBR;276;Germany;DEU;9;Coffee, tea, mate and spices;1;No Quantity;0;0;;31436824;0
H5;2017;2017;2017;2;0;1;Import;826;United Kingdom;GBR;699;India;IND;9;Coffee, tea, mate and spices;1;No Quantity;0;0;;138610585;0
H5;2017;2017;2017;2;0;2;Export;826;United Kingdom;GBR;699;India;IND;9;Coffee, tea, mate and spices;1;No Quantity;0;0;;774938;4
H5;2017;2017;2017;2;0;3;Re-Export;826;United Kingdom;GBR;699;India;IND;9;Coffee, tea, mate and spices;1;No Quantity;0;0;;10285;0
H5;2018;2018;2018;2;0;1;Import;826;United Kingdom;GBR;156;China;CHN;9;Coffee, tea, mate and spices;1;No Quantity;0;0;;57339514;0
